SiteYr,Site,Habitat,Year,Yr,BeesReleased,BeesCollected,BoxesCollected,Longitude,Latitude,Elevation_m,boco_aspec,trasp,slope,HLI,nTotProvised,nOligGrowth,nTstanCells,nParasite,nOligPupae,nOligLarve,nOligF,nOligM,avgOligMass_mg,avgOligFMass_mg,avgOligMMass_mg,avgOligLarvMass_mg,oligRatio,tstanRatio,monoRatio,oligFRatio,Ann_ppt_mm,Ann_tmin_C,Ann_tmean_C,Ann_tmax_C,bi_ppt_mm,bi_tmin_C,bi_tmean_C,bi_tmax_C,qrt_ppt_mm,qrt_tmin_C,qrt_tmean_C,qrt_tmax_C,FieldDay,tmean_C,DD_added,DD_accumulated,stemdiv,stemrich,stemabun,bloomdiv,bloomrich,bloomabun,meanTreeCC,TotMean_BA,JUSC2_L,JUSC2_D,PICO_D,PICO_L,PIPO_D,PIPO_L,POTR5_L,PSME_D,PSME_L,Dead_BA_ha,Live_BA_ha,EVT_abund,EVT_H,EVT_rich,EVT_J,Barren,Coniferous_Forest,Crops,Deciduous_Forest,Rangeland,WUI
C03-20,C03,Control,2020,20,5/12/2020,7/2/2020,7/26/2020,-105.2946,40.1656,1911,140.4279938,95.4279938,11.5853004,-2.28641027930654,21,15,0,5,0,10,0,0,0,0,0,25.51,0.714285714285714,0,0.333333333333333,0,501.26,2.5,9.6,16.8,39.536,-1.46,5.26,11.94,38.2766666666667,11.2,18.7666666666667,26.3,52,20.1,23.5,1052,1.71665856904883,7,21.1666666666667,NA,NA,NA,0.405214215686275,27.557011373661,0,0,0,0,0,27.557011373661,0,0,0,0,27.557011373661,874,0.206192050633232,2,0.29747224891929,0,0.947368421052632,0,0,0.0526315789473684,0
C21-20,C21,Control,2020,20,5/13/2020,7/9/2020,7/27/2020,-105.3122,39.9616,2237,19.9701996,25.0298004,17.9036999,-1.22175342769621,31,14,4,0,2,12,0,2,27.15,0,27.15,40.4,0.451612903225806,0.129032258064516,0,0,580.05,2,8.3,14.7,49.74,-2.6,3.94,10.46,42.9,9.23333333333333,16.9666666666667,24.7,58,22.3,26.8,1131.8,1.87981594065926,8,16.6,NA,NA,NA,0.650310294117647,13.9993814645309,0,0,0,0,19.3510734929637,15.5032371950671,0,0,7.3979634005461,19.3510734929637,13.7020652407291,860,0.0684636715974186,2,0.0987721994946464,0,0.987209302325581,0,0.0127906976744186,0,0
H03-20,H03,Burned,2020,20,5/12/2020,7/26/2020,7/26/2020,-105.3962,40.063,2540,145.4519958,100.4519958,22.4778004,-0.0351735450790702,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,561.37,-0.6,5.9,12.4,49.658,-4.76,1.3,7.36,36.3066666666667,6.6,14.1666666666667,21.7666666666667,76,16.2,15.8,1337.3,1.46932939993699,12,97.5238095238095,NA,NA,NA,0.0240470588235294,21.217443726108,0,0,0,0,0,0,0,21.217443726108,0,21.217443726108,0,862,0.641740865291087,2,0.925836363891244,0,0.658932714617169,0,0,0.341067285382831,0
H18-20,H18,Burned,2020,20,5/13/2020,7/27/2020,7/27/2020,-105.3056,39.9596,2237,312.302002,92.697998,16.9417,-0.355335979618748,134,56,45,0,51,5,14,37,28.1941176470588,46.3928571428571,21.3081081081081,40.72,0.417910447761194,0.335820895522388,0,0.274509803921569,580.05,2,8.3,14.7,49.74,-2.6,3.94,10.46,42.9,9.23333333333333,16.9666666666667,24.7,76,17.8,18.7,1565.6,0.766838231580212,5,25,NA,NA,NA,0.0568387254901961,19.7387754133285,0,0,0,0,27.3098084478051,0,0,0.811192827137156,0,19.7387754133285,0,865,0.286604911179752,2,0.413483484053449,0,0.916763005780347,0,0,0.0832369942196532,0
T02-20,T02,Treated,2020,20,5/12/2020,7/2/2020,7/26/2020,-105.3042,40.1509,1960,128.0579987,83.0579987,19.1590004,-2.53618255120485,74,55,4,4,1,50,0,1,21.1,0,21.1,0,0.743243243243243,0.0540540540540541,0.0727272727272727,0,512.52,2.9,9.7,16.5,39.536,-1.46,5.26,11.94,38.2766666666667,11.2,18.7666666666667,26.3,52,20.1,23.5,1052,1.52470739303014,6,13,NA,NA,NA,0.395895588235294,31.7321621393519,0,0,0,0,0,31.7321621393519,0,0,0,0,31.7321621393519,869,0.227969118652412,3,0.207506434256973,0,0.948216340621404,0,0,0.0425776754890679,0.00920598388952819
T05-20,T05,Treated,2020,20,5/12/2020,7/1/2020,7/26/2020,-105.2939,40.1785,1981,125.137001,80.137001,9.3966599,-0.241921124025284,39,26,6,0,0,26,0,0,0,0,0,32.4230769230769,0.666666666666667,0.153846153846154,0,0,496.46,2.6,9.5,16.4,39.536,-1.46,5.26,11.94,38.2766666666667,11.2,18.7666666666667,26.3,64,26.5,29.2,1380.6,2.11689696788357,16,88.8333333333333,NA,NA,NA,0.333712254901961,20.3820286032346,0,0,0,0,17.6936489933087,26.6549143597283,0,0,0,17.6936489933087,26.6549143597283,869,0.0354144005140979,2,0.0510921799977446,0,0.994246260069045,0,0,0.00575373993095512,0
C05-20,C05,Control,2020,20,5/12/2020,7/3/2020,7/26/2020,-105.4131,40.0717,2349,260.6629944,144.3370056,26.9603996,-2.1195640531946,25,23,0,0,0,23,0,0,0,0,0,38.095652173913,0.92,0,0,0,565.54,0.6,7.2,13.8,49.658,-4.76,1.3,7.36,36.3066666666667,6.6,14.1666666666667,21.7666666666667,53,18.6,22.1,835.2,1.4550604552715,6,25,NA,NA,NA,0.417477941176471,8.0346879437093,0,0,0,13.6867827977316,0,6.80806090272941,0,3.05742963663096,10.2977956668767,3.05742963663096,8.20059655394525,866,0.333610026970932,3,0.30366493294498,0,0.912240184757506,0,0.01270207852194,0,0.0750577367205543
C11-20,C11,Control,2020,20,5/13/2020,7/27/2020,7/27/2020,-105.3091,39.9709,2252,261.3299866,143.6700134,9.3855495,-0.493032293302539,50,22,9,0,16,6,2,14,24.08125,39.1,21.9357142857143,23.0333333333333,0.44,0.18,0,0.125,587.05,1.9,8.2,14.6,49.74,-2.6,3.94,10.46,42.9,9.23333333333333,16.9666666666667,24.7,76,17.8,18.7,1565.6,2.45265946708269,14,63.0833333333333,NA,NA,NA,0.370805392156863,10.3839147277135,0,0,0,0,0,12.0507191687671,0,0,10.1224552075483,0,10.3839147277135,856,0,1,0,0,1,0,0,0,0
H06-20,H06,Burned,2020,20,5/12/2020,7/7/2020,7/26/2020,-105.4077,40.0491,2439,265.7739868,139.2260132,22.7681999,-0.62965554572226,35,20,0,0,1,19,0,1,19.8,0,19.8,31.7421052631579,0.571428571428571,0,0,0,554.49,0.1,6.7,13.2,44.924,-3.96,2.24,8.42,35.66,7.7,15.1333333333333,22.6,57,21.2,23.9,970.5,1.73832238437444,10,95.8,NA,NA,NA,0.00510252100840336,6.39530715886018,0,1.21958412098299,0,0,10.9104221312049,0,0,3.86242775077265,0,6.39530715886018,0,847,0.766730287573602,4,0.553078991790902,0,0.350649350649351,0,0.0188902007083825,0.624557260920897,0.00590318772136954
H09-20,H09,Burned,2020,20,5/13/2020,7/8/2020,7/27/2020,-105.4027,40.0313,2287,53.5004005,8.50040050000001,16.6966991,-1.47748273587826,48,35,4,0,2,33,0,2,18.9,0,18.9,35.130303030303,0.729166666666667,0.0833333333333333,0,0,549.87,1,7.7,14.4,44.924,-3.96,2.24,8.42,35.66,7.7,15.1333333333333,22.6,57,20.7,24.8,983.9,1.81533984854993,11,169.75,NA,NA,NA,0.0374799019607843,11.5033442599746,0,0,11.5033442599746,0,0,0,0,0,0,11.5033442599746,0,853,0.870885445896014,4,0.628211056988277,0,0.540445486518171,0.0316529894490035,0.0152403282532239,0.412661195779601,0
